"Name","TID","Description","Path"
"Aricidea (Allia) cf. antennata Annenkova, 1934","200"," Aricidea (Allia) cf. antennata a) specimen in lateral view; b) detail anterior region in dorsal view, with antenna (highlighted with arrow); c) detail of anterior branchiae in lateral view (specimen Shirla-stained); d) specimen in side view with notopodial (dntl) and neuropodial (nrl) cirri of anterior segments highlighted with arrows (specimen Shirla-stained); e) detail of branched of notopodial cirri (dntl) of anterior segments highlighted with arrows (specimen Shirla-stained).


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%205%20Aricidea%20antennata%20plate%20merged%20web.png"
"Phylo cf. felix Kinberg, 1866","255","","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%202.%20Phylo%20cf.%20felix%20plate%20small%20version%20web.png"
"Phylo felix heterosetosa Hartmann-Schröder, 1965","254"," Phylo cf. heterosetosa. a) Whole specimen. b) Anterior chaerigers, arrows indicating the initial branchiae. c) Prostomium. d) Spines from abdominal chatigers (arrowed), note broken shafts in upper part of parapodium. e) Detail of ventral abdominal papillae. f) view of adominal chaeitgers and start of ventral papillae.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%203.%20Phylo%20f.%20heterosetosa%20plate%20small%20version%20web.png"
"Scoloplos (Leodamas) Kinberg, 1865","251"," Scoloplos (Leodamas) sp. 1 a) specimen in dorsal view, detail of anterior part, first occurrence of branchiae highlighted by arrows; b) specimen in ventral view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%204.%20Scoloplos_Leodamas%20_web2.png"
"Apistobranchidae Mesnil and Caullery, 1898","247"," Apistobranchus sp. 1 a) example of juvenile (left) and adult (right) specimen in lateral view; b) transition between regions with (chaetigers 2-6 and 10 onwards) and without (chaetigers 7-10) acicular branchiae-like lobes (abrl); c) specimen with Methyl Green stain pattern.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Apistobranchus%20completed%20plate%20web.png"
"Apistobranchidae Mesnil and Caullery, 1898","247"," Apistobranchus sp. 1 Illustrations of a) anterior, b) similified lateral view and c) detail of chaetigers 4 to 10 (numbered)
Bar scale images a & b = 1 mm.



 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Apistobranchia%20image%20plate.png"
"Aonidella cirrobranchiata (Day, 1961)","188"," Aonidella cirrobranchiata a) two voucher specimens in dorsal view; b) detail of notopodial lamellae (ntl) and branchiae (br) in chaetigers 1-3; c) detail of notopodial lamella (ntl) and branchia (br) in chaetiger 10.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Aonidella%20cirrobranchiata%20completed%20plate%20web.png"
"Aonidella cirrobranchiata (Day, 1961)","188"," Aonidella cirribranchiata. Illustration of dorsal view of anterior.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Falklands%20spionid%201.png"
"Aurospio foodbancsia  Mincks et al. 2009","175"," Aurospio foodbancsia (specimen Shirla-stained) a) detail of prostomium; b) detail of anterior segments, with branchiae on chaetiger 3 highlighted with arrow.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%206.%20Aurospio%20foodbancsia%20plate%2015MFC%20web.png"
"Prionospio? sp.","155"," Prionsopio? sp. a) specimen in dorsal view; b) detail of small branchia (arrow) on chaetiger 2.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Prionospio%20completed%20plate%20web.png"
"Laonice sp. 1","179"," Laonice sp. 1 (specimen Shirla-stained) a) specimen in lateral view; b) detail of prostomium, small antenna; c) detail of anterior segments showing two rows of capillaries in noto- and neuropodia; detail of attached parasites; d) anterior part in ventral view, translucent pouch between chaetigers 6-7; e) detail of branchia (br) and notopodial lamellae (ntl).


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Laonice%20sp.%201%20Plate%202a%20web.png"
"Laonice sp. 1","179"," Laonice sp. 1 a-c) examples of neuropodial hooded hooks


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Laonice%20sp.%201%20Plate%202b_0.png"
"Laonice sp. 2","180"," Laonice sp. 2 a) narrowly limbate, smooth notochaetae from anterior chaetiger; b) distally hirsute notochaetae from anterior chaetiger; c) distally hirsute neurochaetae from chaetiger 20; d) bidentate hood hook from neuropodium of chaetiger 56.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Laonice%20sp.%202-%20anter%20completed%20plate%20web.png"
"Spiophanes algidus Meißner, 2005 ","147"," Spiophanes algidus (specimen Shirla-stained) a) anterior part in dorsolateral view with detail of prostomium and antenna; b) detail of intersegmental genital pouches.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%201.%20Spiophanes%20algidus%20L11FA%20plate%20web_0.png"
"Spiophanes algidus Meißner, 2005","177"," Spiophanes algidus (specimen Shirla-stained) a) anterior part in dorsolateral view with detail of prostomium and antenna; b) detail of intersegmental genital pouches.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%201.%20Spiophanes%20algidus%20L11FA%20plate%20web_0.png"
"Scololepis sp. 1","152"," Scolelepis sp1. Illustraction a) dorsal anterior view, b) anterior parapodia. Bar  scales a = 1 mm, b = 0.1 mm.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Falklands%20spionid%20scololepis%20plate.png"
"Scololepis sp. 1","183"," Scolelepis sp1. Illustraction a) dorsal anterior view, b) anterior parapodia. Bar  scales a = 1 mm, b = 0.1 mm.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Falklands%20spionid%20scololepis%20plate.png"
"Prionospio sp.","154"," Prionsopio sp. a) prostomium in dorsal view; b) detail of notopodial lamellae in chaetigers 2-4 and dorsal crest (dc) on chaetiger 5; c) example of neuropodial hooded hook.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Prionospio%20completed%20plate%20web_1.png"
"Prionospio sp.","185"," Prionsopio sp. a) prostomium in dorsal view; b) detail of notopodial lamellae in chaetigers 2-4 and dorsal crest (dc) on chaetiger 5; c) example of neuropodial hooded hook.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Prionospio%20completed%20plate%20web_1.png"
"Laonice sp. 3","181"," Laonice sp. 3 a) detail of prostomium in lateral view, with detail of eyes; b) detail of distal end of notopodial postechaetal lamella; c) example of sabre chaetae.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Laonice%20sp.%203%20completed%20plate%20web.png"
"Laonice sp. 3","181"," Laonice sp. 3 Illustration of a) lateral view (simplified and specimen shown with pharynx partially everted); b) dorsal view of anterior.



 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Falklands%20spionid%20%20Laonice%20sp3%20plate%20web.png"
"Fabricinuda sp.1","243"," Fabricinuda sp. 1 a) specimen in lateral view (crown missing); b) example of tube; c) detail of anterior region in dorso-lateral view; d) drawing of anterior region in lateral view; e) abdominal segments, pygidium with eyes.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Fabricinuda%20sp.%201%20completed%20plate%20web%20%231_0.png"
"Fabricinuda sp.1","243"," Fabricinuda sp. 1 f) thoracic limbate and pseudospatulate notochaetae; g) arrangement of anterior thoracic uncini in double rows; h) arrangement of anterior thoracic uncini on chaetiger 7 in irregular row; i) detail of thoracic uncinus; j) abdominal uncini


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Fabricinuda%20sp.%201%20completed%20plate%20web%232.png"
"Fabricinuda sp2","244"," Fabricinuda sp. 2 a) drawing of specimen in lateral view and ventral view (showing square-shaped pad); b) thoracic notochaetae; c) thoracic pseudospatulate chaetae; d) thoracic uncini; e) detail of thoracic uncinus; f) abdominal uncini.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Fabricinuda%20sp.%202%20completed%20plate%20web.png"
"Sternaspidae Carus, 1863","256"," Sternaspis sp. 1 a) specimen in dorsal view; b) detail of the abdomen; c) detail of caudal shied and associated chaetal arrangement; d) detail of caudal shield; e) introvert.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Sternaspis%20sp.%201%20completed%20plate%20web%20.png"
"Amage Malmgren, 1866","211"," Amage sculpta (Falkland Island specimen) a) specimen in dorsal view; b) specimen in ventral view; c) detail of the arrangement of branchiae (styles missing), 4 branchiophores highlighted by arrows (specimen Shirla-stained).


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Amage%20sculpta%20completed%20plate%20web.png"
"Amage Malmgren, 1866","211"," Amage sculpta (from Ehlers, 1908) a) specimen in dorsal view; b) specimen in ventral view; c) detail of the arrangement of branchiae (styles missing) with 4 branchiophores.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Ehlers.png"
"Amphicteis Grube, 1850","215"," Amphicteis sp. 1  a) complete specimen in lateral view; b) anterior region in lateral view; c) detail of branchiae; d) detail of anterior margin of prostomium in dorsal view; e) anterior margin of prostomium in ventral view; f) cirrus of thoracic notopodia.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Amphicteis%20sp1%20plate%20web.png"
"Anobothrus  sp. 1","219"," Anobothrus sp. 1 (specimen Shirla-stained): a) complete specimen in lateral view; b) detail of thoracic region in dorsal view with arrows highlighting circular band anterior to TU-3 (cb) and dorsal ridge connecting modified notopodia of TU-8 (dr); c) detail of paleae d) notochaetae from modified TU-8; e) uncini from modified TU-8; f-g) abdominal uncini in lateral view; h) abdominal uncinus in frontal view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Anobothrus%20sp1%20plate%20web_0.png"
"Anobothrus cf. glandularis Hartmann-Schröder, 1965","218"," Anobothrus cf. glandularis (specimen Shirla-stained): a) complete specimen in dorsal view, scale bar = 1 mm; b) detail of thoracic region in dorsal view with arrows highlighting circular band anterior to TU-3 (cb) and dorsal ridge connecting modified notopodia of TU-8 (dr); c) detail of branchial arrangement (one side of the specimen only) showing the high ridge connecting anterior pairs of branchiae (only one style still attached) and small posterior branchiphore of 4th branchial pair; d) longer notochaetae from TU-7; e) longer notochaetae from modified TU-8.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/A.%20cf.%20glandularis%20plate%20web.png"
"Eclysippe Eliason, 1955","220"," Eclysippe  sp. 1 (specimen Shirla-stained)  a) complete specimen in lateral view;  b) detail of thorax in lateral view; c) paleae; d) strong bands on ventrum of thoracic uncinigers 1 and 2; e) thoracic uncini from unciniger 7 in frontal view; f) abdominal uncini (posterior segments) in lateral view; g) abdominal uncini (posterior segments) in frontal view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Eclycippe%20sp1%20plate%20web.png"
"Eusamythella Hartman, 1971","222"," Eusamythella sexdentata a) specimen in dorsal view; b) detail of branchial arrangement; c) detail of anterior region with dorsal ridge on chaetiger 2; d) tips of paleae.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Eusamythella%20sexdentata%20plate%20web.png"
"Lysippe cf. fragilis (Wollebaeck, 1912)","227"," Lysippe cf. fragilis a) specimen in lateral view; b) detail of anterior end in lateral view; c) detail of anterior region in dorso-lateral view; d) pygidium; e) tips of paleae; f) thoracic uncini in frontal view; g) abdominal uncini in frontal view; h) abdominal uncini in lateral view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Lysippe%20fragilis%20plate%20web.png"
"Lysippe sp. 1","228"," Lysippe sp. 1 (specimen Shirla-stained):  a) complete specimen in lateral view;  b) detail of anterior in lateral view, crenulated lower lip highlighted by arrow; c) paleae; d) thoracic notochaetae; e) thoracic uncini in frontal view; f) abdominal uncini from first abdominal unciger in frontal view; g) abdominal uncini from abdominal unciniger 5 in frontal view, h) detail of abdominal uncini in lateral and i) frontal views.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Lysippe%20sp1%20plate%20web.png"
"Lysippe sp. 2","229"," Lysippe sp. 2 a) specimen in lateral view;  b) detail of anterior end in lateral view, crenulated lower lip highlighted by arrow; c) abdominal uncini in frontal view, d) detail of abdominal uncini lateral view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Lycippe%20sp2%20plate%20web.png"
"Melinna arnaudi Parapar and San Martín, 1997","239"," Mellina arnaudi a) specimen in lateral view, partially exposed from the tube; b) detail anterior region in dorsolateral view; c) detail of membrane on chaetiger 4; d) example of tube.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Melina%20arnaudi%20plate%20web.png"
"Melinna sp. 1","240"," Melinna sp. 1 a) specimen in lateral view; b) detail of anterior end in lateral view; c) detail of prostomium, with eye spots; d) fragment of tube; e) stump of a broken dorsal hook (highlighted by arrow); f) detail of serration on dorsal membrane ; g) thoracic uncini in frontal view; h) abdominal uncinus in lateral view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Melinna%20sp1%20plate%20web.png"
"Samytha Malmgren, 1866","230"," Samytha sp. 1 a) specimen in lateral view; b) detail of anterior end; c) detail of branchial arrangement; d) thoracic uncini in fronto-lateral view; e1) abdominal uncini frontal view;  e2) row of  abdominal uncini; f) abdominal uncini lateral view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Samytha%20sp1%20plate%20web.png"
"Samythella sp. 1","233"," Samythella sp. 1 a) specimen in dorsal view; b) detail of anterior end in ventral view with buccal tentacle exposed; c) detail of branchial arrangement; d) detail of elongated abdominal unciniger; e) pygidium; f) thoracic uncini in frontal view; g) thoracic uncini in lateral view; h) abdominal uncini in frontal view; i) abdominal uncini in lateral view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Samythella%20sp1%20plate%20web.png"
"Samythella sp. 2","234"," Samythella sp. 2: a) specimen in dorsal view; b) detail of branchial arrangement; c) detail of elongated abdominal unciniger; d) pygidium.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Samythella%20sp2%20body%20plate%201%20web.png"
"Samythella sp. 2","234"," Samythella sp. 2: a) thoracic uncini in frontal view; b) thoracic uncini in lateral view; c) abdominal uncini in frontal view; d) abdominal uncini in lateral view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Samythella%20sp2%20uncini%20plate%20web.png"
"Tanseimaruana Imajima, Reuscher and Fiege, 2013","235"," Tanseimaruana sp. 1 (specimen Shirla-stained) a) specimen in dorso-lateral view; b) first abdominal segment with foliose lobes; c) detail of first abdominal segment with foliose lobes; d) tips of paleae; e) thoracic uncini in frontal view; f) abdominal uncini in frontal view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Tanseimarauana%20sp%20plate%20web.png"
"Aricidea (Allia) antarctica Hartmann-Schröder & Rosenfeldt, 1988","198"," Aricidea (Allia) antarctica: a) specimen in lateral view, b) detail of antenna in lateral view; c) detail of antenna in dorsolateral view; d) branchiae (inset detail of branchiae).


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Aricidea%20antartica%20completed%20plate%20web_0.png"
"Ampharete Malmgren, 1866","213"," Ampharete sp. 1 a) specimen in dorsal view; b) detail of anterior end in lateral view (specimen Shirla-stained); c) detail of branchial arrangement (specimen Shirla-stained), branchiophores marked by numbers; d) detail of globular dorsal cirrus.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Ampharete%20sp%201%20completed%20plate%201.png"
"Glyphanostomum Levinsen, 1884","224"," Glyphanostomum sp. 1 a) notochaetae; b) thoracic uncini in frontal view; c) abdominal uncini in frontal view; d) thoracic uncini in lateral view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Glyphamostomum%20sp1%20plate%20web.png"
"Glyphanostomum Levinsen, 1884","224"," Glyphanostomum sp. 1 a) specimen in lateral view; b) annulated tube; c) detail of annulated tube; d) arrangement of branchiae in 1+2 group; e) detail of anterior region in ventro-lateral view; f) pygidium.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Glyphostomum%20sp1%20plate%20web.png"
"Jasmineira sp. 6","301"," Jasmineira? sp. 6 (specimen Methyl Green-stained):  Comparison of staining patterns of similar species - Jasmineira sp. 5 (right) and  Jasmineira sp. 6 (left) in a) and b) ventral view; and c) and d) dorsal view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Jasmineira%20sp5%20and%206%20comparison%20MGSP%20plate%20web.png"
"Euchone sp. 1","306"," Euchone sp. 1: a) specimen (crown missing) in lateral view;  b) detail of anal funnel in dorsal and c) lateral view; d) detail of pygidium; e) thoracic chaetae – acicula uncini and limbate notochaetae; f) abdominal uncini in lateral view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Echone%20body%20shots%20web.png"
"Perkinsiana sp. 1","320"," Perkinsiana sp. 1.  a) 5th thoracic unciniger; b) superior and inferior thoracic notochaetae; c) detail of inferior mucronate chaeta; d) thoracic uncini; e) thoracic companion chaetae.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Perkinsiana%20sp.%201%23%20completed%20plate%20web.png"
"cf. Perkinsiana sp. 2","321"," Perkinsiana? sp. 2: a)thoracic inferior mucronate chaetae; b) thoracic uncinus and companion chaeta; c) abdominal neurochaetae; d) abdominal uncini.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Perkinsiana%20sp.%202%23%20completed%20plate%20web.png"
"Euchone sp. 3","308"," Euchone sp. 3 (specimen Methyl Green-stained): a) specimen in dorso-lateral view; b) abdominal chaetigers c) detail of pygidium and anal depression; d) fascicle of thoracic notochaetae.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Euchone%20sp3%20plate%20web.png"
"cf. Perkinsiana sp. 2","321"," Perkinsiana? sp. 2 (specimen partially Shirla-stained): a) specimen in ventro-lateral view ; b) detail of anterior end in ventral, dorsal (radiolar appendages of dorsal lips marked by arrows) and lateral views; c) tips of radioles; d) pygidium.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Perkinsiana%20sp.%202%20completed%20plate%20web.png"
"Perkinsiana sp. 1","320"," Perkinsiana sp. 1. a) chaetal arrangement in mid abdominal unciniger; b) detail of abdominal neurochaetae; c) detail of abdominal uncini.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Perkinsiana%20sp.%201%20%23%23%20compeleted%20web.png"
"Perkinsiana sp. 1","320"," Perkinsiana sp. 1. a) specimen in ventral view ; b) detail of anterior end with branchial crown; c) detail of anterior end in ventral view; d) detail of anterior end in lateral view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Perkinsiana%20sp.%201%20completed%20plate%20web.png"
"Euchone sp. 1","306"," Euchone sp. 1 and Euchone sp. 2 methyl green pattern: 1) detail of Euchone sp. 1 in dorsal view (inset detail of thorax);  b-d) comparison of Euchone sp. 1 (left) and Euchone sp. 2 (right) in b) thorax in lateral and abdomen in dorsal view; c) thorax in lateral and abdomen in ventral view; d) detail of thorax in lateral view; e) pattern approximately 2 hours after staining.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%202%20Euchone%20sp1%20and%202%20MGSP%20plate%20web.png"
"Euchone sp. 2","307"," Euchone sp. 2: a) specimen with thorax in lateral and abdomen in ventral view; b) detail of anterior end and collar; c) detail of anal depression; d) abdominal uncini from mid abdominal segment; e) detail of abdominal uncini.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Euchone%20sp2%20plate%20web.png"
"Desdemona Banse, 1957","317"," Desdemona? sp. 1. a) superior and inferior thoracic notochaetae; b) thoracic uncini; c) anterior abdominal uncini; d) posterior thoracic uncini.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Desdemona%20plate%202.png"
"Desdemona Banse, 1957","317"," Desdemona? sp. 1 (specimen Methyl Green Stained): a) comparison of non-breeding (left) and breeding (right) specimens, inset: juvenile inside the branchial crown; b) specimen in lateral view; c) detail of anterior end in lateral view; d)  bases of radioles; e) detail of radiolar skeleton; f) pygidium.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Desdemona%20sp.%201.png"
"Potamethus Chamberlin, 1919","291"," Potamethus sp. 1: a) detail of anterior end and collar in ventro-lateral view; b) posterior end with pygidium; c) thoracic notochaetae – long limbate and shorter mucronate; d) thoracic mucronate chaetae (arrowed); e) thoracic unicini; f) companion chaetae of thoracic uncini (arrowed). g) abdominal neurochaetae, with detail of mucronate type, limbate type from posterior chaetiger;  h) abdominal neurochaetae from mid abdominal chaetiger;  i) abdominal uncini; j) posterior abdominal neurochaetae detail.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Potamethus%20cf%20scotiae%20plate%20web.png"
"Myxicola Koch in Renier, 1847","293"," Myxicola cf. sulcata: a) specimen in lateral view; b) detail of anterior end; c) detail of posterior.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Myxicola%20cf%20sulcata%20plate%20web.png"
"Euchone undulocincta Hartmann-Schröder & Rosenfeldt, 1989","305"," Euchone undulocincta: a) specimens in lateral view; b) pygidium with anal funnel; c) inferior thoracic mucronate chaetae; d) detail of mucronate chaeta; e) thoracic uncini; f) uncini from mid abdominal chaetiger, g) detail of abdominal uncini.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Euchone%20undulocinct%20plate%20web.png"
"Euphionella patagonica Monro, 1936","269"," Euphionella patagonica, FI-voucher 24MFC: a1–a4: a1) parapodium from chaetiger 11 with details of dorsal cirrus, a2) papillation on dorsal and ventral surface of neuropodial lobe; b) notochaetae, with detail of serration on notochaetae; c1) unidentate neurochaetae; c2) spear-shaped lower neurochaetae.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Euphionella%20patagonica%20completed%20plate%20web.png"
"Amphicorina? sp. 1","313"," Amphicorina? sp. 1: a) specimen in dorsal view; b) anterior end in lateral view; c) thoracic notochaetae.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Amphicorina%20sp1%20plate%20web.png"
"Harmothoe magellanica (McIntosh, 1885)","271"," Plate 1. Harmothoe magellanica: a) specimen in dorsal view; b) detail of prostomium in dorsal view; c) elytron from chaetiger 9 (inset: microtubercules, elongated papillae).



 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/H.%20magellanica%20Plate%201.png"
"Euphionella patagonica Monro, 1936","269"," Euphionella patagonica, FI-voucher 29MFB: a) specimen in dorsal view; b) anterior end in dorsal view; c) detail of papillated palp; d) body region with pseudoeltyron, elytrophore (elytron detached) and attached elytron, all marked by arrows.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/E.%20patagonica%20voucher%2029%20MFB.png"
"Harmothoe magellanica (McIntosh, 1885)","271"," Plate 2. Harmothoe magellanica: d) mid-body parapodium (insert, detail of papillated dorsal cirrus); e) tip of notochaetae; f) bidentate neurochaetae. 


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/H.%20magellanica%20Plate%202.png"
"Euphionella patagonica Monro, 1936","269"," Euphionella patagonica, holotype of Monro, 1936: a-c) elytron from anterior chaetiger: a1) elytron in dorsal view; a2) detail of smaller macrotubercules; b1) elytron from mid-body chaetiger; b2) detail of papilation of macrotubercules; b3) elytron in dorsal view; c1) detail of large and small macrotubercules; c2) detail of microtubercules.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Euphionella%20patagonica%20completed%20plate%20web%23.png"
"Amphicorina sp. 2","314"," Amphicorina sp. 2: a) whole specimen in lateral view; b) thoracic notochaetae; c) thoracic uncini; d) abdominal uncini.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Amphicorine%20sp2%20plate%20web.png"
