typeStatus,catalogNumber,occurrenceDetails,occurrenceRemarks,recordNumber,recordedBy,individualID,individualCount,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,otherCatalogNumbers,previousIdentifications,associatedMedia,associatedReferences,associatedOccurrences,associatedSequences,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,identificationID,identifiedBy ,dateIdentified,identificationReferences,identificationRemarks,identificationQualifier,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,eventID,samplingProtocol,samplingEffort,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNumber,fieldNotes,eventRemarks,type,modified,language,rights,rightsHolder,accessRights,bibliographicCitation,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,source,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.1246012461,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,2,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Aedicira) antarctica,"Aricidea (Aedicira) antarctica Hartmann-Schröder & Rosenfeldt, 1990 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Aedicira),antarctica,,,,"Hartmann-Schröder and Rosenfeldt, 1990",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,449,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.298355,-59.095609,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,22/03/2012,11:45,,,,,,,Brown silty clay with mottled darker patches on surface. Cohesive but slightly looser on surface. Maybe slightly greyer towards base of core. Occasional pebble and dark sand in sieve residue,71MFA,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.11811,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,1,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,460,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.2504547,-59.0862200,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,25/04/2012,05:47,,,,,,,"Soft silty brown clay, darker mottling on surface, top 3-5cm
looser, more cohesive below. Very cohesive. Dark coarse
sand and gravel up to 2cm in sieve residu",10MFC,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.12032,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,1,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,445,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.2866453,-59.1130539,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,16/04/2012,21:36,,,,,,,"Soft brown silty clay, quite cohesive Loose in top 4cm, slightly stiffer below. No sign of anoxia in profile. Minimal gravel.",21MFC,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.12076,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,1,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,450,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.2862100,-59.0580569,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,15/04/2012,16:40,,,,,,,Brown silty clay with mottled darker patches on surface. Slightly looser for top 5-10cm becoming stiffer and maybe greyer towards bottom. Coarse dark sand  and fine gravel in residue.,23MFC,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.12086,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,1,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,453,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.2859825,-59.0305592,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,25/04/2012,10:19,,,,,,,"Soft silty brown clay, darker mottling on surface, top 3-5cm looser, more cohesive below. Quite cohesive. Dark coarse sand and gravel up to 2cm in sieve residue.",24MFB,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.12107,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,1,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,438,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.3050428,-59.1677492,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,16/04/2012,23:31,,,,,,,"Soft brown  clay, less cohesive loose in top 4cm, slightly stiffer below. No sign of anoxia in profile. Coarse sand and gravel up to 1.5cm in diameter in sieve residue. Hagfish in MFC - taken from QA/QC deployment.",25MFB,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.12174,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,1,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,452,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.3044189,-59.0852225,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,23/04/2012,12:13,,,,,,,"Soft brown silty clay. Darker mottling on surface. Top 5-10cm looser, more cohesive below. Dark sand and gravel up to 3cm in diameter in sieve residue.",28MFA,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.12275,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,1,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,450,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.3226217,-59.1124078,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,15/04/2012,07:18,,,,,,,Brown silty clay with mottled darker patches on surface. Slightly looser for top 5-10cm becoming stiffer and maybe greyer towards bottom. Coarse dark sand  and occasional pebble up to 2cm in diameter in sieve residue. Glassy fluff(?) around edges of spade.,33MFC,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.12286,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,1,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,450,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.3221858,-59.0573711,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,15/04/2012,10:54,,,,,,,Brown silty clay with mottled darker patches on surface. Slightly looser for top 5-10cm becoming stiffer and maybe greyer towards bottom. Coarse dark sand  and occasional pebble up to 2cm in diameter in sieve residue. Glassy fluff(?) around edges of spade.,35MFB,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.12324,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,1,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,436,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.3410194,-59.1671425,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,15/04/2012,01:23,,,,,,,"Soft brown silty clay, loose for first 5cm, more cohesive below. Coarse sand in sieve residue",37MFA,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.12366,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,1,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,436,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.3406094,-59.1120844,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,14/04/2012,23:33,,,,,,,"Soft brown silty clay, loose for first 5cm, more cohesive below. Small amount of black gravel",39MFA,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.12565,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,1,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,444,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.3769958,-59.1665347,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,25/03/2012,19:54,,,,,,,Silty brown clay with a fine layer of black sand on surface and a little gravel in sieve residue.  Slightly more cohesive than previous stations. Some 2cm diameter gravel of varying colours.,47MFA,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.13039,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,1,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,448,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.298506,-59.115083,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,22/03/2012,09:55,,,,,,,Brown silty clay with mottled darker patches on surface. Cohesive but slightly looser on surface. Maybe slightly greyer towards base of core. Occasional pebble and dark sand in sieve residue. ,70MFA,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.13056,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,1,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,449,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.298355,-59.095609,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,22/03/2012,11:45,,,,,,,Brown silty clay with mottled darker patches on surface. Cohesive but slightly looser on surface. Maybe slightly greyer towards base of core. Occasional pebble and dark sand in sieve residue,71MFA,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.13080,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,1,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,432,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.341680,-59.140768,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,22/03/2012,19:59,,,,,,,"Soft brown silty clay, less cohesive with areas of medium sand at 12cm depth. Mostly black gravel 1cm or less in diameter and medium coarse sand in sieve residue. ",72MFC,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.13252,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,1,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,458,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.2508764,-59.1411775,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,24/04/2012,08:26,,,,,,,"Soft silty brown clay, slightly darker mottling on surface, top 5-8cm looser, more cohesive below. Coarse dark sand and gravel up to 1.5m in diameter in sieve residue.",8MFA,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.1155811559,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,2,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,443,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.2870544,-59.1680519,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,17/04/2012,01:23,,,,,,,"Soft brown  clay, less cohesive Loose in top 4cm, slightly stiffer below. No sign of anoxia in profile. Coarse sand and gravel up to 2cm in diameter, shell fragments and hair from sponge in sieve residue.",19MFA,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.1158811589,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,2,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,444,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.2866453,-59.1130539,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,16/04/2012,20:07,,,,,,,"Soft brown silty clay, quite cohesive Loose in top 4cm, slightly stiffer below. No sign of anoxia in profile. Minimal gravel.",21MFA,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.1162211623,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,2,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,454,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.2864308,-59.0855553,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,23/04/2012,10:54,,,,,,,"Boxcore top door slightly ajar, possibly minor washout. Soft brown silty clay. Darker mottling on surface. Top 5-10cm looser, more cohesive below. Dark sand and gravel up to 2cm in diameter in sieve residue.",22MFC,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.1163411635,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,2,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,450,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.2862100,-59.0580569,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,15/04/2012,15:52,,,,,,,Brown silty clay with mottled darker patches on surface. Slightly looser for top 5-10cm becoming stiffer and maybe greyer towards bottom. Coarse dark sand  and fine gravel in residue.,23MFA,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.1173011731,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,2,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,452,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.3044189,-59.0852225,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,23/04/2012,12:13,,,,,,,"Soft brown silty clay. Darker mottling on surface. Top 5-10cm looser, more cohesive below. Dark sand and gravel up to 3cm in diameter in sieve residue.",28MFA,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.1177411775,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,2,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,456,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.3039703,-59.0302064,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,25/04/2012,11:30,,,,,,,"Soft silty brown clay, darker mottling on surface, top 3-5cm looser, more cohesive below. Quite cohesive. Dark coarse sand and gravel up to 2cm in sieve residue.",30MFA,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
other material,NHM.2018.1189411895,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,2,,,,,,,specimen fixed in 4  formalin and stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,,,"Tebble, 1959 ",,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,434,,,,"RRS Ernest Shackleton, project no. 9030",,,,,,-49.3408178,-59.1396133,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,23/04/2012,22:36,,,,,,,"Soft brown silty clay. Darker mottling on surface. Top 5-8cm looser, more cohesive below.  Less cohesive than previous samples",38MFC,0.5mm mesh,,,,en,,,,,,,,NHMUK,ZOO,Falkland Islands Sea Lion Field Development Environmental Baseline Survey,,PreservedSpecimen,,,,,,,,,,,,,,,,,,,,,,,
